Week Index,Sessions
0000,22
0001,102
0002,82
0003,81
0004,99
0005,118
0006,119
0007,144
0008,143
0009,90
0010,73
0011,121
0012,86
0013,118
0014,127
0015,145
0016,118
0017,88
0018,214
0019,101
0020,95
0021,104
0022,127
0023,117
0024,79
0025,91
0026,55
,2859
