,NA,date,error,fail,pass,skip
0,3173,2015-12-01,0,0,0,0
1,1413,2015-12-08,12,1255,16,638
2,1413,2015-12-15,12,1299,18,667
3,1413,2015-12-22,13,1300,16,667
4,1413,2015-12-29,12,1301,16,667
5,1413,2016-01-05,12,1303,16,667
6,1413,2016-01-12,12,1303,16,667
7,1413,2016-01-19,12,1316,16,667
8,1413,2016-01-26,12,1321,16,667
9,1413,2016-02-02,12,1326,16,667
10,1413,2016-02-09,12,1329,16,667
11,1413,2016-02-16,12,1329,16,667
12,1413,2016-02-23,12,1329,16,667
13,1413,2016-03-01,12,1329,16,667
14,1413,2016-03-08,12,1329,16,667
15,1413,2016-03-15,12,1329,16,667
16,1413,2016-03-22,12,1329,16,667
17,1413,2016-03-29,12,1329,16,667
18,1413,2016-04-05,24,1239,109,659
19,1413,2016-04-12,24,1239,109,659
20,1413,2016-04-19,24,1239,109,659
21,1413,2016-04-26,24,1239,109,659
22,1413,2016-05-03,24,1239,109,659
23,1413,2016-05-10,24,1239,109,659
24,1413,2016-05-17,24,1239,109,659
25,1413,2016-05-24,24,1239,109,659
26,1408,2016-05-31,24,1239,109,666
27,1408,2016-06-07,24,1230,109,675
28,1408,2016-06-14,24,1232,109,684
29,1408,2016-06-21,24,1232,109,691
30,1408,2016-06-28,24,1232,109,691
31,1408,2016-07-05,24,1232,109,691
32,1408,2016-07-12,24,1232,109,691
33,1408,2016-07-19,24,1232,109,691
34,1408,2016-07-26,24,1232,109,698
35,1408,2016-08-02,24,1228,113,698
36,1408,2016-08-09,24,1228,113,698
37,1408,2016-08-16,24,1228,113,698
38,1408,2016-08-23,24,1229,112,698
39,1408,2016-08-30,24,1228,113,698
40,419,2016-09-06,555,1533,114,997
41,419,2016-09-13,878,1247,25,1049
42,410,2016-09-20,49,2038,27,1097
43,410,2016-09-27,49,2038,27,1097
44,410,2016-10-04,49,2038,27,1097
45,410,2016-10-11,49,2038,27,1097
46,410,2016-10-18,49,2038,27,1097
47,410,2016-10-25,49,2038,27,1097
48,383,2016-11-01,5,2064,30,1139
49,383,2016-11-08,5,2064,30,1139
50,383,2016-11-15,5,2064,30,1139
51,383,2016-11-22,5,2064,30,1139
52,383,2016-11-29,5,2064,30,1139
53,383,2016-12-06,5,2064,30,1139
54,383,2016-12-13,12,2059,28,1139
55,383,2016-12-20,5,2066,28,1139
56,383,2016-12-27,12,2059,28,1139
57,383,2017-01-03,12,2059,28,1139
58,383,2017-01-10,12,2059,28,1139
59,383,2017-01-17,12,2059,28,1139
