,NA,date,error,fail,pass,skip
0,3173,2015-12-01,0,0,0,0
1,3173,2015-12-08,0,5,1,0
2,3173,2015-12-15,0,5,1,0
3,3173,2015-12-22,0,7,1,0
4,3173,2015-12-29,0,7,1,0
5,3173,2016-01-05,0,8,1,0
6,3173,2016-01-12,0,8,1,0
7,3173,2016-01-19,0,10,0,0
8,3173,2016-01-26,0,9,1,0
9,3173,2016-02-02,0,11,0,0
10,3173,2016-02-09,0,10,1,0
11,3173,2016-02-16,0,12,0,0
12,3173,2016-02-23,0,12,0,0
13,3173,2016-03-01,0,14,0,0
14,3173,2016-03-08,0,14,0,0
15,3173,2016-03-15,0,15,0,0
16,3173,2016-03-22,0,14,1,0
17,3173,2016-03-29,0,16,0,0
18,3173,2016-04-05,0,15,1,0
19,3173,2016-04-12,0,21,1,0
20,3173,2016-04-19,0,20,2,0
21,3161,2016-04-26,0,24,3,7
22,3161,2016-05-03,0,24,3,7
23,3161,2016-05-10,0,25,8,1
24,3161,2016-05-17,0,25,8,1
25,3149,2016-05-24,0,30,14,2
26,3137,2016-05-31,0,35,20,3
27,3125,2016-06-07,0,40,26,4
28,3113,2016-06-14,0,45,32,5
29,3101,2016-06-21,0,50,38,6
30,3089,2016-06-28,0,55,44,7
31,3077,2016-07-05,0,60,50,8
32,3077,2016-07-12,0,65,56,9
33,3065,2016-07-19,0,70,62,10
34,3053,2016-07-26,0,75,68,11
35,3041,2016-08-02,0,80,74,12
36,3029,2016-08-09,0,85,80,13
37,3017,2016-08-16,0,90,86,14
38,3005,2016-08-23,0,95,92,15
39,2993,2016-08-30,0,100,98,16
40,2981,2016-09-06,0,105,104,17
41,2969,2016-09-13,0,110,110,18
42,2957,2016-09-20,0,115,116,19
43,2945,2016-09-27,0,120,122,20
44,2945,2016-10-04,0,125,128,21
45,2933,2016-10-11,0,130,134,22
46,2921,2016-10-18,0,135,140,23
47,2909,2016-10-25,0,140,146,24
48,2897,2016-11-01,0,145,152,25
49,2885,2016-11-08,0,150,158,26
50,2873,2016-11-15,0,155,164,27
51,2861,2016-11-22,0,160,170,28
52,2849,2016-11-29,0,165,176,29
53,2844,2016-12-06,0,167,179,29
54,2844,2016-12-13,0,167,179,29
55,2837,2016-12-20,0,168,185,29
56,2833,2016-12-27,0,168,189,29
57,2827,2017-01-03,0,171,192,29
58,2820,2017-01-10,0,178,192,29
59,2806,2017-01-17,0,188,196,29
60,2793,2017-01-24,13,188,196,29
61,2786,2017-01-31,13,194,197,29
62,2783,2017-02-07,13,195,199,29
63,2777,2017-02-14,19,195,199,29
64,2732,2017-02-21,20,215,219,35
65,973,2017-02-28,20,268,1983,13
66,886,2017-03-07,25,47,2316,34
67,885,2017-03-14,25,52,2312,34
68,885,2017-03-21,25,55,2309,34
69,885,2017-03-28,25,55,2309,34
70,885,2017-04-04,25,55,2309,34
71,885,2017-04-11,25,55,2309,34
72,885,2017-04-18,24,52,2313,34
73,884,2017-04-25,24,51,2315,34
74,884,2017-05-02,24,49,2317,34
75,738,2017-05-09,40,50,2439,61
76,713,2017-05-16,65,84,2319,147
77,694,2017-05-23,79,96,2264,195
